Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00161802098160088,0.0467050933934749,0.0779450977923297,0,0,0,5.15269940105425,0.26184254203606,-9.00290245147069E-05,0.00014328050992412,0.152072389343112,0.000463113740387288,0.369278133774143,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,,body 1-2;Uper part body-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Front_Right_Wheel_Link,-0.0179997858152329,0,0,0,0,0,5.74040111939051,0.0247011739167521,1.07808915404808E-18,-3.78528212501408E-17,0.0128831681568234,-3.52568682324834E-18,0.0128831681568234,0,0,0,0,0,0,package://Assem1/meshes/Front_Right_Wheel_Link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://Assem1/meshes/Front_Right_Wheel_Link.STL,,wheel cast-4,front_right,fright,Front_Right_Wheel_Joint,continuous,0.26572,0.18418,-0.018176,0,0,0,base_link,1,0,0,,,,,,,,,,,,
Front_Left_Wheel_Link,0.0170002141847672,0,1.11022302462516E-16,0,0,0,5.74040111939051,0.0247011739167521,2.63828269663178E-18,4.16757031712694E-17,0.0128831681568235,5.56818924766258E-20,0.0128831681568235,0,0,0,0,0,0,package://Assem1/meshes/Front_Left_Wheel_Link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://Assem1/meshes/Front_Left_Wheel_Link.STL,,wheel cast-1,front_left,fleft,Front_Left_Wheel_Joint,continuous,-0.26528,0.18418,-0.018196,0,0,0,base_link,1,0,0,,,,,,,,,,,,
Back_Left_Wheel_Link,0.0180002141847672,0,-1.11022302462516E-16,0,0,0,5.74040111939052,0.0247011739167521,6.17854868235479E-19,-3.83449195954942E-17,0.0128831681568235,8.4129297554755E-20,0.0128831681568235,0,0,0,0,0,0,package://Assem1/meshes/Back_Left_Wheel_Link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://Assem1/meshes/Back_Left_Wheel_Link.STL,,wheel cast-2,back_left,bleft,Back_Left_Wheel_Joint,continuous,-0.26628,-0.16812,-0.018196,0,0,0,base_link,1,0,0,,,,,,,,,,,,
Back_Right_Wheel_Link,0.514000214184765,-5.52335954751015E-15,-4.44089209850063E-15,0,0,0,5.74040111939051,0.0247011739167521,2.65430082145206E-20,1.34698732310558E-20,0.0128831681568234,-2.07715639723907E-20,0.0128831681568234,0,0,0,0,0,0,package://Assem1/meshes/Back_Right_Wheel_Link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://Assem1/meshes/Back_Right_Wheel_Link.STL,,wheel cast-3,back_left,bleft,Back_Right_Wheel_Joint,continuous,-0.26628,-0.16812,-0.018196,0,0,0,base_link,1,0,0,,,,,,,,,,,,
Mid_UltraSonic_Link,-4.79184407585834E-07,0.00374468175562565,1.93007793096722E-05,0,0,0,0.00474055680043827,1.34347269181566E-07,-1.39358647238185E-15,-2.50358146856512E-09,3.36467550027611E-07,-2.77511316464602E-14,2.61873472437475E-07,0,0,0,0,0,0,package://Assem1/meshes/Mid_UltraSonic_Link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://Assem1/meshes/Mid_UltraSonic_Link.STL,,HC-SR04 Ultrasonic sensor-2,ir_mid,,Mid_UltraSonic_Joint,fixed,-0.00028041,0.37868,0.062988,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Right_UltraSonic_Link,0.00324274993850954,0.00187275586338892,1.93007774726972E-05,0,0,0,0.00474055679897464,2.85937478611472E-07,8.75206496180157E-08,-1.25181476905567E-09,1.84877340602887E-07,2.1681512764767E-09,2.61873472447996E-07,0,0,0,0,0,0,package://Assem1/meshes/Right_UltraSonic_Link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://Assem1/meshes/Right_UltraSonic_Link.STL,,HC-SR04 Ultrasonic sensor-3,ir_right,,Right_UltraSonic_Joint,fixed,0.19741,0.33668,0.14299,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Left_UltraSonic_Link,-0.00324322912188668,0.00187192589341983,1.93007774947906E-05,0,0,0,0.00474055679898988,2.85937481028814E-07,-8.75206482201277E-08,-1.25176669948359E-09,1.84877338183015E-07,-2.16817902790129E-09,2.6187347244541E-07,0,0,0,0,0,0,package://Assem1/meshes/Left_UltraSonic_Link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://Assem1/meshes/Left_UltraSonic_Link.STL,,HC-SR04 Ultrasonic sensor-1,ir_left,,Left_UltraSonic_Joint,fixed,-0.19797,0.33668,0.14299,0,0,0,base_link,0,0,0,,,,,,,,,,,,
LDR_Link,8.35269353682833E-16,-2.29386675754117E-06,-0.000463170574418803,0,0,0,3.68642836091468E-06,8.70146571012201E-12,-2.67373485464063E-26,4.20294500611547E-24,7.57843865486903E-12,2.64822532986587E-15,1.29386480157382E-11,0,0,0,0,0,0,package://Assem1/meshes/LDR_Link.STL,0.984313725490196,0.737254901960784,0.466666666666667,1,0,0,0,0,0,0,package://Assem1/meshes/LDR_Link.STL,,LDR cell thru-hole leaded-1/Part16^LDR cell thru-hole leaded-1,lddr,Axis_LDR_Joint,LDR_Joint,fixed,-0.00028089,-0.16448,0.19368,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Rain_sensor_Link,5.8692680401152E-05,0.000544737345416574,-0.000526906154568296,0,0,0,0.002290891005314,4.71535896912081E-07,1.89664645617434E-10,-1.89387828633015E-12,3.08747997148529E-07,-3.13830137406787E-11,7.79778489871549E-07,0,0,0,0,0,0,package://Assem1/meshes/Rain_sensor_Link.STL,0.984313725490196,0.737254901960784,0.466666666666667,1,0,0,0,0,0,0,package://Assem1/meshes/Rain_sensor_Link.STL,,RainSen-1,rain_sensor,,Rain_sensor_Joint,fixed,-0.00016446,-0.21221,0.19478,0,0,0,base_link,0,0,0,,,,,,,,,,,,
